datetime,timestamp,open,high,low,close,volume
2025-10-10 08:00:00+00:00,1760083200000,226.0,239.82,220.86,228.1,64745.4
2025-10-10 12:00:00+00:00,1760097600000,228.1,245.05,201.98,228.79,155688.12
2025-10-10 16:00:00+00:00,1760112000000,228.79,251.3,225.05,236.24,179813.99
2025-10-10 20:00:00+00:00,1760126400000,236.24,248.75,150.76,233.1,291487.4
2025-10-11 00:00:00+00:00,1760140800000,233.1,237.03,209.14,218.27,77235.14
2025-10-11 04:00:00+00:00,1760155200000,218.27,268.8,209.02,266.65,68528.2
2025-10-11 08:00:00+00:00,1760169600000,266.65,283.66,250.42,263.91,109934.74
2025-10-11 12:00:00+00:00,1760184000000,263.91,287.56,258.87,263.87,113359.53
2025-10-11 16:00:00+00:00,1760198400000,263.87,291.28,261.18,290.88,119589.47
2025-10-11 20:00:00+00:00,1760212800000,290.88,297.8,273.11,291.44,108946.29
2025-10-12 00:00:00+00:00,1760227200000,291.44,296.06,262.81,272.28,79413.68
2025-10-12 04:00:00+00:00,1760241600000,272.28,293.35,264.99,288.24,43914.15
2025-10-12 08:00:00+00:00,1760256000000,288.24,288.71,264.44,267.93,32328.39
2025-10-12 12:00:00+00:00,1760270400000,267.93,272.22,243.32,251.08,138855.27
2025-10-12 16:00:00+00:00,1760284800000,251.08,264.24,246.04,259.47,63580.88
2025-10-12 20:00:00+00:00,1760299200000,259.47,279.88,254.38,260.38,66891.09
2025-10-13 00:00:00+00:00,1760313600000,260.38,278.82,258.86,271.45,41270.73
2025-10-13 04:00:00+00:00,1760328000000,271.45,288.29,265.46,266.81,39035.75
2025-10-13 08:00:00+00:00,1760342400000,266.81,268.47,240.41,246.44,40190.73
2025-10-13 12:00:00+00:00,1760356800000,246.44,254.53,235.26,245.69,62269.67
2025-10-13 16:00:00+00:00,1760371200000,245.69,259.57,242.39,254.95,44019.28
2025-10-13 20:00:00+00:00,1760385600000,254.95,273.36,247.1,249.49,53813.83
2025-10-14 00:00:00+00:00,1760400000000,249.49,249.55,235.71,236.27,40298.63
2025-10-14 04:00:00+00:00,1760414400000,236.27,239.05,221.33,224.73,73686.33
2025-10-14 08:00:00+00:00,1760428800000,224.73,233.46,217.89,226.6,38036.84
2025-10-14 12:00:00+00:00,1760443200000,226.6,263.26,217.18,258.86,94050.38
2025-10-14 16:00:00+00:00,1760457600000,258.86,267.38,233.0,234.63,72342.54
2025-10-14 20:00:00+00:00,1760472000000,234.63,255.51,234.55,247.86,50176.58
2025-10-15 00:00:00+00:00,1760486400000,247.86,264.55,242.9,250.11,47373.62
2025-10-15 04:00:00+00:00,1760500800000,250.11,269.83,246.38,262.75,35161.37
2025-10-15 08:00:00+00:00,1760515200000,262.75,278.01,260.1,265.94,35701.51
2025-10-15 12:00:00+00:00,1760529600000,265.94,272.42,249.34,252.9,47202.77
2025-10-15 16:00:00+00:00,1760544000000,252.9,256.47,236.0,240.49,48466.85
2025-10-15 20:00:00+00:00,1760558400000,240.49,242.88,223.83,230.02,60078.44
2025-10-16 00:00:00+00:00,1760572800000,230.02,236.27,225.11,231.59,26442.95
2025-10-16 04:00:00+00:00,1760587200000,231.59,245.98,225.42,241.47,29879.58
2025-10-16 08:00:00+00:00,1760601600000,241.47,242.81,232.31,237.16,20391.81
2025-10-16 12:00:00+00:00,1760616000000,237.16,240.96,219.55,219.55,58152.3
2025-10-16 16:00:00+00:00,1760630400000,219.55,226.77,209.6,214.56,90371.71
2025-10-16 20:00:00+00:00,1760644800000,214.56,219.83,202.5,204.77,92681.27
2025-10-17 00:00:00+00:00,1760659200000,204.77,218.3,204.3,213.94,53737.72
2025-10-17 04:00:00+00:00,1760673600000,213.94,219.06,189.63,192.02,93048.22
2025-10-17 08:00:00+00:00,1760688000000,192.02,208.6,186.9,206.94,78940.14
2025-10-17 12:00:00+00:00,1760702400000,206.94,216.4,205.89,211.1,72148.7
2025-10-17 16:00:00+00:00,1760716800000,211.1,224.55,210.59,214.95,73260.93
2025-10-17 20:00:00+00:00,1760731200000,214.95,235.4,213.07,217.91,66234.39
2025-10-18 00:00:00+00:00,1760745600000,217.91,223.01,211.88,213.73,29112.56
2025-10-18 04:00:00+00:00,1760760000000,213.73,221.82,210.28,217.28,15739.37
2025-10-18 08:00:00+00:00,1760774400000,217.28,227.03,213.52,223.75,13677.38
2025-10-18 12:00:00+00:00,1760788800000,223.75,226.07,213.48,213.62,20095.63
2025-10-18 16:00:00+00:00,1760803200000,213.62,224.97,210.59,223.93,23619.98
2025-10-18 20:00:00+00:00,1760817600000,223.93,224.92,215.92,221.61,21970.73
2025-10-19 00:00:00+00:00,1760832000000,221.61,229.09,217.8,226.06,26441.25
2025-10-19 04:00:00+00:00,1760846400000,226.06,229.06,215.86,218.23,13504.94
2025-10-19 08:00:00+00:00,1760860800000,218.23,223.44,212.0,218.35,15392.56
2025-10-19 12:00:00+00:00,1760875200000,218.35,228.27,215.21,225.44,24021.86
2025-10-19 16:00:00+00:00,1760889600000,225.44,239.9,222.15,233.48,38324.21
2025-10-19 20:00:00+00:00,1760904000000,233.48,245.68,232.63,236.34,27937.58
2025-10-20 00:00:00+00:00,1760918400000,236.34,244.48,230.56,242.71,30537.55
2025-10-20 04:00:00+00:00,1760932800000,242.71,248.71,236.96,238.47,39238.51
2025-10-20 08:00:00+00:00,1760947200000,238.47,251.85,236.3,251.4,18103.31
2025-10-20 12:00:00+00:00,1760961600000,251.4,266.42,248.01,260.96,40691.45
2025-10-20 16:00:00+00:00,1760976000000,260.96,284.0,249.23,275.34,57321.14
2025-10-20 20:00:00+00:00,1760990400000,275.34,277.54,265.89,268.48,30293.14
2025-10-21 00:00:00+00:00,1761004800000,268.48,270.55,261.68,263.52,23700.33
2025-10-21 04:00:00+00:00,1761019200000,263.52,263.77,249.34,255.36,29852.38
2025-10-21 08:00:00+00:00,1761033600000,255.36,274.63,245.85,273.9,38176.59
2025-10-21 12:00:00+00:00,1761048000000,273.9,296.2,264.42,292.7,86229.76
2025-10-21 16:00:00+00:00,1761062400000,292.7,309.28,270.83,278.29,125416.97
2025-10-21 20:00:00+00:00,1761076800000,278.29,281.12,260.96,263.01,55057.4
2025-10-22 00:00:00+00:00,1761091200000,263.01,269.64,253.87,265.97,46356.19
2025-10-22 04:00:00+00:00,1761105600000,265.97,282.02,262.92,277.05,36818.3
2025-10-22 08:00:00+00:00,1761120000000,277.05,281.08,266.15,272.07,23365.7
2025-10-22 12:00:00+00:00,1761134400000,272.07,277.65,255.3,259.42,47848.48
2025-10-22 16:00:00+00:00,1761148800000,259.42,262.44,231.29,245.88,92817.65
2025-10-22 20:00:00+00:00,1761163200000,245.88,245.98,226.45,238.86,75449.35
2025-10-23 00:00:00+00:00,1761177600000,238.86,245.34,235.8,241.42,34225.65
2025-10-23 04:00:00+00:00,1761192000000,241.42,252.06,234.23,239.77,31671.17
2025-10-23 08:00:00+00:00,1761206400000,239.77,242.9,231.66,232.98,21487.96
